"","m0","notas.bcra","reserves","badlar","exchange","month","year","date","date2","regime","convertion1","convertion2","notas.bcra.dollars","m0.dollars","m0.frac","notas.bcra.frac"
"9",220604,77749.6,47462.3,11.75,4.3978,4,2012,"2012-4",2012-04-01,"CFK2",4.64798376816968,6.28611761334786,17679.2032379826,50162.3539042248,0.739404518665101,0.260595481334899
"165",223779,80550.8,47435.8,11.75,4.4504,5,2012,"2012-5",2012-05-01,"CFK2",4.71751293326981,6.41561436720789,18099.676433579,50282.8959194679,0.735317408942535,0.264682591057465
"125",236884,81983.1,46603.6,13.625,4.4978,6,2012,"2012-6",2012-06-01,"CFK2",5.0829549648525,6.84211305564377,18227.3778291609,52666.6370225444,0.742892571858307,0.257107428141693
"105",252128,81588.1,46647.2,13.5,4.5528,7,2012,"2012-7",2012-07-01,"CFK2",5.40499751324838,7.1540435438783,17920.4225970831,55378.668072395,0.755516440471407,0.244483559528593
"29",258124,82539.1,45256.6,14.4375,4.6098,8,2012,"2012-8",2012-08-01,"CFK2",5.70356588873225,7.52736838383794,17905.1368822942,55994.6201570567,0.757710477007929,0.24228952299207
"223",261624,84295.4,45228,14.875,4.6699,9,2012,"2012-9",2012-09-01,"CFK2",5.78455823825949,7.64834615724772,18050.7933788732,56023.4694533073,0.756314910351949,0.243685089648051
"204",265126,84152.3,45062.2,14.875,4.7299,10,2012,"2012-10",2012-10-01,"CFK2",5.88355650634013,7.75102635912139,17791.5600752659,56053.1935136049,0.759068055473243,0.240931944526757
"185",271961,82755.2,45314.9,15.5625,4.7974,11,2012,"2012-11",2012-11-01,"CFK2",6.00158005424264,7.82780498246714,17250.0104223121,56689.2483428524,0.766700252201619,0.233299747798381
"48",292138,80377.5,44134,15.4375,4.88,12,2012,"2012-12",2012-12-01,"CFK2",6.6193410975665,8.44055603389677,16470.7991803279,59864.3442622951,0.784230454840134,0.215769545159866
"67",298282,83261.2,42953.9,14.9375,4.9486,1,2013,"2013-1",2013-01-01,"CFK2",6.94423556417461,8.88262067006721,16825.203087742,60276.037667219,0.781777790824211,0.218222209175789
"86",292390,93122.9,42180.9,13.9375,5.0111,2,2013,"2013-2",2013-02-01,"CFK2",6.93181036914812,9.13951338164904,18583.325018459,58348.4664045818,0.758444140260936,0.241555859739065
"146",297163,96576.6,41152.9,14.875,5.084,3,2013,"2013-3",2013-03-01,"CFK2",7.220949191916,9.56772426730558,18996.1841070024,58450.6294256491,0.754719616721305,0.245280383278695
"10",297658,94574.9,40075.2,15.3125,5.1555,4,2013,"2013-4",2013-04-01,"CFK2",7.42748632570767,9.78742214636484,18344.4670739986,57736.0100863156,0.758880756815657,0.241119243184343
"166",300486,94742.5,39015.4,16.625,5.2399,5,2013,"2013-5",2013-05-01,"CFK2",7.7017280355962,10.130064026,18080.9748277639,57345.7508731083,0.760284240635481,0.239715759364519
"126",311003,94597,38234,17.125,5.3292,6,2013,"2013-6",2013-06-01,"CFK2",8.13419992676675,10.6083590521525,17750.6942880733,58358.2901748855,0.766772682445759,0.233227317554241
"106",323597,92908,37310.2,17.6875,5.4409,7,2013,"2013-7",2013-07-01,"CFK2",8.67315104180626,11.163301188415,17075.8514216398,59474.9030491279,0.77693425048919,0.22306574951081
"30",326429,94630.6,37001.2,18.0625,5.5814,8,2013,"2013-8",2013-08-01,"CFK2",8.82211928261786,11.3796201204285,16954.6350378041,58485.1470957108,0.775256044512463,0.224743955487537
"224",329769,99490.8,35611.8,17.1875,5.7371,9,2013,"2013-9",2013-09-01,"CFK2",9.26010479672468,12.0538641686183,17341.6534486064,57480.0857576127,0.768227073674264,0.231772926325736
"205",334634,102400,34221.2,19.1875,5.8482,10,2013,"2013-10",2013-10-01,"CFK2",9.77855832057321,12.7708554930862,17509.6610923019,57219.9993160289,0.765693287021147,0.234306712978853
"186",338343,101621,32244.4,19.1875,6.0149,11,2013,"2013-11",2013-11-01,"CFK2",10.4930778677848,13.6446638796194,16894.8777203279,56250.8104872899,0.769024283805039,0.230975716194961
"49",361580,96925.2,30611.7,21.625,6.3192,12,2013,"2013-12",2013-12-01,"CFK2",11.8118235837931,14.9781031435693,15338.2073680213,57219.2682618053,0.788606105230649,0.21139389476935
"68",368236,98895.8,29620.7,25.375,7.0967,1,2014,"2014-1",2014-01-01,"CFK2",12.4317116070856,15.7704510696911,13935.4629616582,51888.3424690349,0.788291441516078,0.211708558483923
"87",347707,121702,27678.1,26.25,7.8565,2,2014,"2014-2",2014-02-01,"CFK2",12.5625313876314,16.9595817631991,15490.6128683256,44257.2392286642,0.740733560711448,0.259266439288552
"147",351349,130690,27331.5,26.375,7.9313,3,2014,"2014-3",2014-03-01,"CFK2",12.8550939392276,17.6367561238864,16477.7527013226,44299.0430320376,0.728880858187823,0.271119141812177
"11",354170,140135,27679.9,25.8125,8.0013,4,2014,"2014-4",2014-04-01,"CFK2",12.7952051849898,17.8579041109253,17514.0289702923,44264.0570907228,0.716500945772347,0.283499054227653
"167",353311,156972,28386.4,24,8.0427,5,2014,"2014-5",2014-05-01,"CFK2",12.4464884592622,17.9763196460277,19517.3262710284,43929.4018177975,0.692382462280734,0.307617537719266
"127",366004,166062,28862.8,22.8125,8.1255,6,2014,"2014-6",2014-06-01,"CFK2",12.6808209875688,18.4343168368973,20437.1423297028,45043.8742231247,0.687892103611206,0.312107896388794
"107",383944,170848,29519.2,21.375,8.1606,7,2014,"2014-7",2014-07-01,"CFK2",13.0065855443237,18.7942762676495,20935.7155111144,47048.5013356861,0.692050354006547,0.307949645993453
"31",390997,182261,28861.4,20.75,8.3164,8,2014,"2014-8",2014-08-01,"CFK2",13.5474024129114,19.8624460351889,21915.8530133231,47015.1748352653,0.682061131288181,0.317938868711819
"225",395573,196909,28280.6,19.875,8.4193,9,2014,"2014-9",2014-09-01,"CFK2",13.9874330813349,20.9501212845555,23387.8113382348,46984.0723100495,0.667654038434923,0.332345961565077
"206",401131,206872,27569.8,20.25,8.4803,10,2014,"2014-10",2014-10-01,"CFK2",14.5496521556196,22.0532249055126,24394.4200087261,47301.5105597679,0.659751678856848,0.340248321143152
"187",407830,215854,28477,20,8.514,11,2014,"2014-11",2014-11-01,"CFK2",14.3213821680655,21.9013238754082,25352.8306319004,47901.1040638948,0.653904862077591,0.346095137922409
"50",442497,221805,30232.8,20.375,8.5495,12,2014,"2014-12",2014-12-01,"CFK2",14.6363221401921,21.9728903707232,25943.6224340605,51757.0618164805,0.666108185734801,0.333891814265199
"69",453976,238115,31274.6,20.5625,8.6024,1,2015,"2015-1",2015-01-01,"CFK2",14.5158051581795,22.129491664162,27680.0660280852,52773.1795777922,0.6559484229675,0.3440515770325
"88",450670,262780,31350,20.625,8.6859,2,2015,"2015-2",2015-02-01,"CFK2",14.3754385964912,22.7575757575758,30253.629445423,51885.2392958703,0.63167706216273,0.36832293783727
"148",453065,270543,31431.5,21.875,8.779,3,2015,"2015-3",2015-03-01,"CFK2",14.4143613890524,23.0217457009688,30817.0634468618,51607.8141018339,0.62611939060928,0.37388060939072
"12",458015,264231,31998.8,20.5625,8.8657,4,2015,"2015-4",2015-04-01,"CFK2",14.3135055064565,22.5710339137718,29803.7380015114,51661.4593320324,0.634153737092348,0.365846262907652
"168",468116,272519,33796.2,20.4375,8.9487,5,2015,"2015-5",2015-05-01,"CFK2",13.8511430279144,21.9147418940591,30453.4736889157,52311.061941958,0.632046824684224,0.367953175315776
"128",488049,276772,33680,20.8125,9.0416,6,2015,"2015-6",2015-06-01,"CFK2",14.4907660332542,22.7084619952494,30610.9538134843,53978.1675809591,0.638121861193665,0.361878138806335
"108",517033,283762,33871.6,21.1875,9.1425,7,2015,"2015-7",2015-07-01,"CFK2",15.2644988722115,23.6420777288348,31037.6811594203,56552.6934645885,0.645649635674548,0.354350364325452
"32",526990,287230,33720.7,21.125,9.2433,8,2015,"2015-8",2015-08-01,"CFK2",15.6280860124493,24.1459993416507,31074.3998355566,57013.1879307174,0.647232934587704,0.352767065412296
"226",533353,286855,33423.3,21.125,9.3652,9,2015,"2015-9",2015-09-01,"CFK2",15.9575206517609,24.5400065223961,30629.8851065647,56950.5189424679,0.650265542399001,0.349734457600999
"207",544634,278089,28144.4,22.625,9.4896,10,2015,"2015-10",2015-10-01,"CFK2",19.3514162675346,29.2322096047526,29304.6071488788,57392.7246670039,0.661989515304665,0.338010484695335
"188",559688,272563,26193.2,23.875,9.6272,11,2015,"2015-11",2015-11-01,"CFK2",21.367683215491,31.7735519142373,28311.7625062323,58136.1143426957,0.672499041755432,0.327500958244568
"51",622263,257833,24815.6,27.25,11.4278,12,2015,"2015-12",2015-12-01,"CFK2",25.0754767162591,35.4654330340592,22561.910428954,54451.6879889393,0.707039913827582,0.292960086172418
"70",602926,337177,25967.8,26.3125,13.6548,1,2016,"2016-1",2016-01-01,"Macri",23.2182164064726,36.2026432735927,24692.9284940094,44154.875941061,0.641340363768651,0.358659636231349
"89",563460,388558,29359.2,26.25,14.8146,2,2016,"2016-2",2016-02-01,"Macri",19.1919398348729,32.4265647565329,26228.0453066569,38034.1014944717,0.591858557296186,0.408141442703814
"149",586879,391671,28861.9,30.75,14.9615,3,2016,"2016-3",2016-03-01,"Macri",20.3340389925819,33.9045592978979,26178.5917187448,39225.9465962637,0.599743498032804,0.400256501967196
"13",582322,428170,31015.5,30.5625,14.4095,4,2016,"2016-4",2016-04-01,"Macri",18.775193048637,32.5802260160242,29714.4245116069,40412.36684132,0.576275715196162,0.423724284803838
"169",584173,469647,31581.1,31.25,14.1377,5,2016,"2016-5",2016-05-01,"Macri",18.4975507502905,33.3686920341597,33219.4770012095,41320.2288915453,0.554338501831432,0.445661498168568
"129",618259,501273,31484.7,26.625,14.1408,6,2016,"2016-6",2016-06-01,"Macri",19.6368077193049,35.5579694264198,35448.7016293279,43721.6423398959,0.552247724942208,0.447752275057792
"109",671463,520376,33231.1,25.625,14.9094,7,2016,"2016-7",2016-07-01,"Macri",20.2058613768428,35.8651684717027,34902.5447033415,45036.2187613184,0.56338398055442,0.436616019445579
"33",675460,572098,32141.5,24,14.8498,8,2016,"2016-8",2016-08-01,"Macri",21.0151984194888,38.8145543922966,38525.6367089119,45486.1344933939,0.54142572930477,0.45857427069523
"227",681289,600212,30886.2,22.1875,15.1007,9,2016,"2016-9",2016-09-01,"Macri",22.0580388652537,41.4910542572411,39747.2964829445,45116.3853331303,0.53163360777713,0.46836639222287
"208",695131,624540,36430.2,21.9375,15.181,10,2016,"2016-10",2016-10-01,"Macri",19.0811744102421,36.2246432904568,41139.5823727027,45789.539556024,0.526745681309963,0.473254318690037
"189",718872,660680,37705.2,20.375,15.3399,11,2016,"2016-11",2016-11-01,"Macri",19.0655930746953,36.5878446474226,43069.3811563309,46862.8869810103,0.521090904873466,0.478909095126534
"52",787895,631226,37853.5,19.875,15.8296,12,2016,"2016-12",2016-12-01,"Macri",20.8143236424637,37.4898226055715,39876.3076767575,49773.5255470764,0.555199309995413,0.444800690004587
"71",815692,607210,41154,19.375,15.9065,1,2017,"2017-1",2017-01-01,"Macri",19.8204791757788,34.5750595324877,38173.7025744193,51280.4199541068,0.573259437403279,0.426740562596721
"90",829523,583255,48464.1,20.1875,15.5983,2,2017,"2017-2",2017-02-01,"Macri",17.1162365544805,29.151021065077,37392.2158183905,53180.3465762295,0.587157359471906,0.412842640528094
"150",793838,613991,51488,19.0625,15.5237,3,2017,"2017-3",2017-03-01,"Macri",15.417922622747,27.3428565879428,39551.8465314326,51137.1644646573,0.563873879569181,0.436126120430819
"14",792863,709741,50371.6,20,15.36,4,2017,"2017-4",2017-04-01,"Macri",15.7402782520309,29.8303806112968,46207.0963541667,51618.6848958333,0.527659316759439,0.472340683240561
"170",786917,792229,47707.3,20.0625,15.6981,5,2017,"2017-5",2017-05-01,"Macri",16.4946873958493,33.1007204348182,50466.5532771482,50128.1683770647,0.498318078252423,0.501681921747577
"130",810144,847758,45375.8,20.125,16.1166,6,2017,"2017-6",2017-06-01,"Macri",17.8540984401377,36.5371409429696,52601.5412680094,50267.6743233685,0.488656144934984,0.511343855065016
"110",852630,866720,47931.8,20.6875,17.169,7,2017,"2017-7",2017-07-01,"Macri",17.7883993507442,35.8707580353753,50481.6821014619,49661.0169491525,0.495902521301655,0.504097478698345
"34",862308,902239,48353.5,21.1875,17.417,8,2017,"2017-8",2017-08-01,"Macri",17.8334143340193,36.492642724932,51802.204742493,49509.5596256531,0.488685197957323,0.511314802042677
"228",872717,959054,50837.3,21.75,17.2465,9,2017,"2017-9",2017-09-01,"Macri",17.1668637004719,36.0320276647265,55608.6162409764,50602.557040559,0.476433462479753,0.523566537520247
"209",888003,1012850,51692,22,17.4528,10,2017,"2017-10",2017-10-01,"Macri",17.1787317186412,36.7726727540045,58033.6679501283,50880.2599009901,0.46716026962632,0.53283973037368
"190",906484,1042470,53992,23.3125,17.4925,11,2017,"2017-11",2017-11-01,"Macri",16.7892280337828,36.0970884575493,59595.2551093326,51821.294840646,0.46511308117072,0.53488691882928
"53",982661,1034310,55582,23.25,17.7001,12,2017,"2017-12",2017-12-01,"Macri",17.6794825662984,36.2882048145083,58435.2630776097,55517.2569646499,0.48719639499031,0.51280360500969
"72",1026680,1093190,60626,23.1875,19.029,1,2018,"2018-1",2018-01-01,"Macri",16.9346485006433,34.9663510704978,57448.6310368385,53953.4394870986,0.484312717289268,0.515687282710732
"91",1028710,1220110,62300,22.7812,19.8409,2,2018,"2018-2",2018-02-01,"Macri",16.5121990369181,36.0966292134831,61494.6902610265,51847.9504457963,0.457444348591706,0.542555651408294
"151",1022090,1273270,61756,22.8125,20.2378,3,2018,"2018-3",2018-03-01,"Macri",16.5504566357925,37.1682103763197,62915.4354722351,50504.0073525778,0.445285271155723,0.554714728844277
"15",1019740,1272980,60763,22.8157,20.2349,4,2018,"2018-4",2018-04-01,"Macri",16.7822523575202,37.7321725392097,62910.1206331635,50395.1094396315,0.44477302069158,0.55522697930842
"171",1023680,1188130,54009,28.2857,23.6687,5,2018,"2018-5",2018-05-01,"Macri",18.9538780573608,40.9526190079431,50198.3632392147,43250.3686303008,0.46282456449695,0.537175435503049
"131",1065530,1049820,53361,30.6,26.5342,6,2018,"2018-6",2018-06-01,"Macri",19.9683289293679,39.6422480838065,39564.7880848113,40156.8541731049,0.503713333490912,0.496286666509088
"111",1110740,1001920,60103,32.8,27.6347,7,2018,"2018-7",2018-07-01,"Macri",18.4806082891037,35.1506580370364,36255.8667182926,40193.6695531343,0.525754262399061,0.474245737600939
"35",1197100,920340,55910,35.16,37.125,8,2018,"2018-8",2018-08-01,"Macri",21.4111965659095,37.8722947594348,24790.303030303,32245.1178451178,0.565352501133444,0.434647498866556
"229",1270760,766575,50303,41.9,38.59,9,2018,"2018-9",2018-09-01,"Macri",25.2621116036817,40.501262350158,19864.6022285566,32929.774552993,0.623736400739201,0.376263599260799
"210",1252100,751058,48952,50.5,37.1202,10,2018,"2018-10",2018-10-01,"Macri",25.5781173394345,40.9208612518385,20233.1345197494,33730.9605012904,0.625063025482763,0.374936974517237
"191",1256260,769160,52631,51.4,36.459,11,2018,"2018-11",2018-11-01,"Macri",23.8692025612282,38.4834033174365,21096.5742340711,34456.7870758935,0.620246664889258,0.379753335110742
"54",1336800,737833,58978,48.6,37.8852,12,2018,"2018-12",2018-12-01,"Macri",22.6660788768693,35.1763878056224,19475.4943883099,35285.5468626271,0.644354929281468,0.355645070718532
"73",1345590,806152,66172,45.7,37.4069,1,2019,"2019-1",2019-01-01,"Macri",20.3347337242338,32.5174091760866,21550.8903437601,35971.7057548206,0.625349135723521,0.374650864276479
"92",1343230,884762,66984,37.58,38.408,2,2019,"2019-2",2019-02-01,"Macri",20.0529977308014,33.2615549982085,23035.8779420954,34972.661945428,0.602888161178317,0.397111838821683
"152",1314390,951857,67958,41.7,41.36,3,2019,"2019-3",2019-03-01,"Macri",19.3412107478148,33.3477589099149,23013.9506769826,31779.2553191489,0.579985323753324,0.420014676246676
"16",1324800,992903,72446,48.5,43.2328,4,2019,"2019-4",2019-04-01,"Macri",18.2867239047014,31.9921458741683,22966.4282674266,30643.4003811921,0.571600416446801,0.428399583553199
"172",1341850,1019240,64779,52.6,44.9332,5,2019,"2019-5",2019-05-01,"Macri",20.7142746877846,36.4483860510351,22683.4500992585,29863.2191786919,0.568318022608202,0.431681977391798
"132",1341940,1093370,64406,50.9,43.7894,6,2019,"2019-6",2019-06-01,"Macri",20.8356364313884,37.8118498276558,24968.8280725472,30645.3159897144,0.551034570547487,0.448965429452513
"112",1382950,1191880,66133,48.6,42.5234,7,2019,"2019-7",2019-07-01,"Macri",20.91164774016,38.9341176114799,28028.8029649558,32522.0937178118,0.537103420419989,0.462896579580011
"36",1325160,1233530,62325,55.4,52.7271,8,2019,"2019-8",2019-08-01,"Macri",21.2620938628159,41.0539911752908,23394.6111202778,25132.427157951,0.517905647030316,0.482094352969684
"230",1342100,1086200,50234.7,60,56.5014,9,2019,"2019-9",2019-09-01,"Macri",26.7165923156702,48.339096282052,19224.302406666,23753.3937212175,0.552691183132232,0.447308816867768
"211",1387780,1016910,46749,55.1,58.8308,10,2019,"2019-10",2019-10-01,"Macri",29.6857686795439,51.4383195362468,17285.3335327753,23589.3443570375,0.577113889940075,0.422886110059925
"192",1580780,796628,43502,46,59.7381,11,2019,"2019-11",2019-11-01,"Macri",36.3380993977288,54.6505448025378,13335.3421016068,26461.8392617107,0.664917422672087,0.335082577327913
"55",1715620,727777,44339,41.9539,59.8832,12,2019,"2019-12",2019-12-01,"Macri",38.6932497349963,55.1071742709578,12153.2750420819,28649.4375718064,0.702145414764772,0.297854585235228
"74",1689900,977989,45196,36.253,60.011,1,2020,"2020-1",2020-01-01,"Fernandez",37.3904770333658,59.029316753695,16296.828914699,28159.8373631501,0.633422155119647,0.366577844880353
"93",1860020,1362050,44791,33.587,61.3484,2,2020,"2020-2",2020-02-01,"Fernandez",41.5266459779866,71.9356567167511,22201.883015694,30318.9651237848,0.577274857467404,0.422725142532596
"153",1920230,1471880,44263,29.566,63.1227,3,2020,"2020-3",2020-03-01,"Fernandez",43.3822831710458,76.6353387705307,23317.760488699,30420.5935424182,0.566087184672667,0.433912815327333
"17",2147120,1195540,43725,19.9844,65.762,4,2020,"2020-4",2020-04-01,"Fernandez",49.1050886220698,76.4473413379074,18179.7998844317,32649.8585809434,0.642338736216068,0.357661263783933
"173",2221680,1225370,43084,23.4375,67.5525,5,2020,"2020-5",2020-05-01,"Fernandez",51.5662426887011,80.0076594559465,18139.5211132082,32888.1980681692,0.644516325553734,0.355483674446266
"133",2159030,1613420,43037,29.5357,69.5407,6,2020,"2020-6",2020-06-01,"Fernandez",50.1668331900458,87.6559704440365,23201.0894339574,31046.9983764903,0.572315073758433,0.427684926241567
"113",2315230,1659950,43312.8,29.5327,71.4749,7,2020,"2020-7",2020-07-01,"Fernandez",53.4537134519126,91.7784119244196,23224.2367600374,32392.2104123266,0.582421424941764,0.417578575058236
"37",2333890,1777840,43152.6,28.5844,73.293,8,2020,"2020-8",2020-08-01,"Fernandez",54.084574278259,95.2834823394187,24256.6138648984,31843.2865348669,0.567617523524161,0.432382476475839
"231",2317900,1802770,42344,29.747,75.1986,9,2020,"2020-9",2020-09-01,"Fernandez",54.7397506140185,97.3141413187228,23973.4516334081,30823.7121435771,0.562505611951455,0.437494388048546
"212",2311440,1671740,40739,30.6964,77.5693,10,2020,"2020-10",2020-10-01,"Fernandez",56.7377697047056,97.7731412160338,21551.5674371175,29798.3867328956,0.580300162181975,0.419699837818025
"193",2345520,1599500,39161,32.9408,79.9332,11,2020,"2020-11",2020-11-01,"Fernandez",59.8942825770537,100.73848982406,20010.4587330421,29343.5018240231,0.594552118873922,0.405447881126078
"56",2433020,1603960,38878,34.2153,82.6379,12,2020,"2020-12",2020-12-01,"Fernandez",62.5808940789135,103.837131539688,19409.4961270797,29441.9388682433,0.602683193872647,0.397316806127353
"75",2603550,1672280,39641,34.1219,85.9708,1,2021,"2021-1",2021-01-01,"Fernandez",65.6782119522716,107.863827854999,19451.7208168355,30284.1197243715,0.608899324809452,0.391100675190548
"94",2592890,1760090,39381,34.1007,88.6746,2,2021,"2021-2",2021-02-01,"Fernandez",65.8411416673015,110.535029582794,19848.8631468312,29240.5040451268,0.595658606288106,0.404341393711894
"154",2523570,1839940,39708,34.068,91.0664,3,2021,"2021-3",2021-03-01,"Fernandez",63.5531882744031,109.889946610255,20204.378343714,27711.3183347535,0.57833487261402,0.421665127385981
"18",2545890,1914080,40071,34.097,92.8638,4,2021,"2021-4",2021-04-01,"Fernandez",63.5344763045594,111.301689501135,20611.6915310379,27415.3114561325,0.570831193931798,0.429168806068202
"174",2540330,2003950,41092,33.319,94.1048,5,2021,"2021-5",2021-05-01,"Fernandez",61.8205490119731,110.587948992505,21294.8755005058,26994.691025325,0.559017050005722,0.440982949994279
"134",2701960,1989220,42417,34.119,95.2543,6,2021,"2021-6",2021-06-01,"Fernandez",63.6999316311856,110.596694721456,20883.2567138701,28365.7535670306,0.575965961655703,0.424034038344297
"114",2864200,NA,42843,34.131,96.2378,7,2021,"2021-7",2021-07-01,"Fernandez",66.853394953668,NA,NA,29761.6944693249,NA,NA
